Code,District,"TOTAL Supply (2010, Af)","Local Groundwater (2010, AF)","Local Surface Water (2010, AF)","Local Desalination (2010, AF)","Local Recycled (2010, AF)","SFRW (2010, AF)","SWP (2010, AF)","Vallejo Permit (2010, AF)","Vallejo Treated (2010, AF)","Napa Treated (2010, AF)","TOTAL USE (2010, AF)","Residential (2010, AF)","Commercial (2010, AF)","Industrial (2010, AF)","Landscape (2010, AF)","Ag (2010, AF)","Institutional (2010, AF)",# Rebate Programs,,,,,
326,San Jose Water Company,,,,,,,,,,,,,,,,,,,,,,,
327,"San Juan Capistrano, City of",,,,,,,,,,,,,,,,,,,,,,,
328,San Juan Water District,,,,,,,,,,,,,,,,,,,,,,,
329,"San Luis Obispo, City of",,,,,,,,,,,,,,,,,,,,,,,
330,San Luis Opisbo County,,,,,,,,,,,,,,,,,,,,,,,
331,"Santa Ana, City of",,,,,,,,,,,,,,,,,,,,,,,
332,"Santa Barbara, City of",,,,,,,,,,,,,,,,,,,,,,,
333,"Santa Clara, City of",,,,,,,,,,,,,,,,,,,,,,,
334,Santa Clara Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
335,"Santa Cruz, City of",,,,,,,,,,,,,,,,,,,,,,,
336,Santa Fe Irrigation District,,,,,,,,,,,,,,,,,,,,,,,
337,"Santa Fe Springs, City of",,,,,,,,,,,,,,,,,,,,,,,
338,Santa Margarita Water District,,,,,,,,,,,,,,,,,,,,,,,
339,"Santa Maria, City of",,,,,,,,,,,,,,,,,,,,,,,
340,"Santa Monica, City of",,,,,,,,,,,,,,,,,,,,,,,
341,"Santa Paula, City of",,,,,,,,,,,,,,,,,,,,,,,
342,"Santa Rosa, City of",,,,,,,,,,,,,,,,,,,,,,,
343,Scotts Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
344,"Seal Beach, City of",,,,,,,,,,,,,,,,,,,,,,,
345,Serrano Water District,,,,,,,,,,,,,,,,,,,,,,,
